name,product_url,category,shop_name,price,commission_rate,commission_amount,sold_count,rating,review_count,bad_review_count,voucher_info,shipping_note
Makeup Brush Cleaner,https://shop.example/products/makeup-brush-cleaner,Beauty,Glow Lab,14.99,16,2.40,6800,4.5,650,25,Beauty voucher,Ships in 1 day
Monitor Memo Board,https://shop.example/products/monitor-memo-board,Office,Tidy Desk,7.99,9,0.72,9400,4.2,530,42,No voucher,Standard shipping
Dog Travel Water Bottle,https://shop.example/products/dog-travel-water-bottle,Pets,Paw Supply,13.49,12,1.62,16200,4.7,1900,37,Pet voucher,Free shipping
Measuring Spoon Set,https://shop.example/products/measuring-spoon-set,Kitchen,Daily Home,5.75,8,0.46,13200,4.6,840,18,Buy 2 save 5%,Standard shipping
Ankle Strap Cable Attachment,https://shop.example/products/ankle-strap-cable-attachment,Fitness,Move Daily,11.99,13,1.56,5700,4.4,430,27,Gym voucher,Ships in 2 days
Door Draft Stopper,https://shop.example/products/door-draft-stopper,Home,Home Harbor,15.25,10,1.53,7200,4.3,680,49,Home voucher,Standard shipping
USB C Hub,https://shop.example/products/usb-c-hub,Electronics,Creator Kit,29.99,11,3.30,6100,4.4,730,44,Creator voucher,Ships in 2 days
Hanging Toiletry Bag,https://shop.example/products/hanging-toiletry-bag,Travel,Pack Right,18.25,12,2.19,8300,4.6,960,31,Travel voucher,Free shipping
Car Trash Can,https://shop.example/products/car-trash-can,Automotive,Road Kit,12.50,9,1.13,11100,4.3,850,52,No voucher,Standard shipping
Facial Ice Roller,https://shop.example/products/facial-ice-roller,Beauty,Glow Lab,8.99,15,1.35,19600,4.6,2010,46,Beauty voucher,Free shipping
Ergonomic Mouse Pad,https://shop.example/products/ergonomic-mouse-pad,Office,Tidy Desk,10.75,10,1.08,7800,4.4,690,32,Office voucher,Standard shipping
Pet Slow Feeder Bowl,https://shop.example/products/pet-slow-feeder-bowl,Pets,Paw Supply,9.49,12,1.14,14300,4.5,1210,51,Pet voucher,Ships in 1 day
Garlic Press,https://shop.example/products/garlic-press,Kitchen,Daily Home,8.50,10,0.85,12500,4.5,880,35,No voucher,Standard shipping
Pilates Ring,https://shop.example/products/pilates-ring,Fitness,Move Daily,16.99,14,2.38,6400,4.4,590,30,Gym voucher,Free shipping
Vacuum Storage Bags,https://shop.example/products/vacuum-storage-bags,Home,Home Harbor,22.99,12,2.76,13400,4.6,1560,60,Home voucher,Ships in 2 days
Bluetooth Remote Shutter,https://shop.example/products/bluetooth-remote-shutter,Electronics,Creator Kit,6.99,18,1.26,17200,4.5,1150,43,Creator voucher,Standard shipping
Luggage Scale,https://shop.example/products/luggage-scale,Travel,Pack Right,10.99,10,1.10,10400,4.6,940,24,Travel voucher,Free shipping
Car Phone Charger,https://shop.example/products/car-phone-charger,Automotive,Road Kit,13.99,11,1.54,9800,4.4,800,36,No voucher,Standard shipping
Heatless Curling Rod,https://shop.example/products/heatless-curling-rod,Beauty,Glow Lab,12.75,17,2.17,22100,4.7,2340,50,Beauty voucher,Free shipping
Standing Desk Hook,https://shop.example/products/standing-desk-hook,Office,Tidy Desk,6.25,9,0.56,4500,4.2,390,22,Office voucher,Standard shipping
Pet Nail Grinder,https://shop.example/products/pet-nail-grinder,Pets,Paw Supply,19.99,13,2.60,7600,4.3,710,57,Pet voucher,Ships in 2 days
Oil Sprayer Bottle,https://shop.example/products/oil-sprayer-bottle,Kitchen,Daily Home,9.99,12,1.20,18800,4.7,2030,38,10% voucher,Free shipping
Jump Rope,https://shop.example/products/jump-rope,Fitness,Move Daily,7.99,10,0.80,15700,4.5,1250,42,Gym voucher,Standard shipping
Under Sink Organizer,https://shop.example/products/under-sink-organizer,Home,Home Harbor,24.50,11,2.70,8900,4.4,860,39,Home voucher,Ships in 2 days
Portable Tripod,https://shop.example/products/portable-tripod,Electronics,Creator Kit,18.50,16,2.96,11900,4.6,1440,47,Creator voucher,Free shipping
